<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	1.06950	1.07070	1.06795	1.06922	1478	0	83
2023.01.02	01:00:00	1.06899	1.07014	1.06830	1.06973	276	0	64
2023.01.02	02:00:00	1.06974	1.07048	1.06915	1.07030	224	0	31
2023.01.02	03:00:00	1.07030	1.07069	1.06838	1.06897	188	0	16
2023.01.02	04:00:00	1.06896	1.06917	1.06830	1.06880	145	0	53
2023.01.02	05:00:00	1.06880	1.07031	1.06879	1.06897	144	0	4
2023.01.02	06:00:00	1.06897	1.07023	1.06882	1.06978	888	0	31
2023.01.02	07:00:00	1.06978	1.06989	1.06764	1.06915	780	0	0
2023.01.02	08:00:00	1.06921	1.06974	1.06651	1.06833	1561	0	0
2023.01.02	09:00:00	1.06833	1.06909	1.06629	1.06785	2665	0	0
2023.01.02	10:00:00	1.06787	1.06975	1.06711	1.06797	2601	0	0
2023.01.02	11:00:00	1.06797	1.06987	1.06765	1.06785	2671	0	0
2023.01.02	12:00:00	1.06785	1.06896	1.06741	1.06833	1281	0	0
2023.01.02	13:00:00	1.06833	1.06862	1.06802	1.06843	695	0	0
2023.01.02	14:00:00	1.06842	1.06868	1.06765	1.06822	1079	0	0
2023.01.02	15:00:00	1.06822	1.06864	1.06764	1.06783	1355	0	0
2023.01.02	16:00:00	1.06782	1.06819	1.06706	1.06723	1049	0	0
2023.01.02	17:00:00	1.06724	1.06742	1.06583	1.06599	1462	0	0
2023.01.02	18:00:00	1.06597	1.06700	1.06511	1.06553	2067	0	0
2023.01.02	19:00:00	1.06552	1.06620	1.06541	1.06599	1260	0	0
2023.01.02	20:00:00	1.06599	1.06602	1.06511	1.06528	1140	0	0
2023.01.02	21:00:00	1.06528	1.06589	1.06503	1.06562	805	0	0
2023.01.02	22:00:00	1.06567	1.06675	1.06539	1.06609	1274	0	2
2023.01.02	23:00:00	1.06609	1.06700	1.06572	1.06649	276	0	17
2023.01.03	00:00:00	1.06649	1.06673	1.06610	1.06640	94	0	9
2023.01.03	01:00:00	1.06642	1.06831	1.06502	1.06765	3702	0	0
2023.01.03	02:00:00	1.06766	1.06783	1.06666	1.06704	2998	0	0
2023.01.03	03:00:00	1.06703	1.06742	1.06505	1.06598	5787	0	0
2023.01.03	04:00:00	1.06597	1.06777	1.06576	1.06765	3310	0	0
2023.01.03	05:00:00	1.06764	1.06786	1.06687	1.06723	3203	0	0
2023.01.03	06:00:00	1.06724	1.06802	1.06669	1.06672	2368	0	0
2023.01.03	07:00:00	1.06672	1.06706	1.06589	1.06635	3065	0	0
2023.01.03	08:00:00	1.06635	1.06677	1.06513	1.06521	3369	0	0
2023.01.03	09:00:00	1.06527	1.06586	1.06201	1.06237	5186	0	0
2023.01.03	10:00:00	1.06237	1.06283	1.05507	1.05517	10793	0	0
2023.01.03	11:00:00	1.05517	1.05609	1.05340	1.05475	9020	0	0
2023.01.03	12:00:00	1.05477	1.05548	1.05253	1.05309	6531	0	0
2023.01.03	13:00:00	1.05311	1.05360	1.05195	1.05283	4514	0	0
2023.01.03	14:00:00	1.05283	1.05492	1.05241	1.05355	4979	0	0
2023.01.03	15:00:00	1.05354	1.05697	1.05304	1.05602	7890	0	0
2023.01.03	16:00:00	1.05602	1.05972	1.05555	1.05739	9037	0	0
2023.01.03	17:00:00	1.05739	1.05820	1.05547	1.05555	11223	0	0
2023.01.03	18:00:00	1.05557	1.05587	1.05374	1.05579	6704	0	0
2023.01.03	19:00:00	1.05580	1.05591	1.05400	1.05462	3577	0	0
2023.01.03	20:00:00	1.05462	1.05607	1.05431	1.05565	2505	0	0
2023.01.03	21:00:00	1.05567	1.05682	1.05551	1.05663	3088	0	0
2023.01.03	22:00:00	1.05665	1.05686	1.05504	1.05514	3746	0	0
2023.01.03	23:00:00	1.05514	1.05539	1.05462	1.05474	1870	0	0
2023.01.04	00:00:00	1.05470	1.05475	1.05443	1.05474	4248	0	3
2023.01.04	01:00:00	1.05477	1.05545	1.05404	1.05454	3562	0	0
2023.01.04	02:00:00	1.05456	1.05612	1.05450	1.05579	3102	0	0
2023.01.04	03:00:00	1.05580	1.05695	1.05569	1.05668	3011	0	0
2023.01.04	04:00:00	1.05668	1.05694	1.05614	1.05647	2372	0	0
2023.01.04	05:00:00	1.05649	1.05697	1.05648	1.05688	1671	0	0
2023.01.04	06:00:00	1.05688	1.05744	1.05658	1.05729	1793	0	0
2023.01.04	07:00:00	1.05728	1.05783	1.05646	1.05691	3069	0	0
2023.01.04	08:00:00	1.05693	1.05750	1.05595	1.05701	3263	0	0
2023.01.04	09:00:00	1.05690	1.06058	1.05668	1.05938	6572	0	0
2023.01.04	10:00:00	1.05938	1.06356	1.05901	1.06157	11735	0	0
2023.01.04	11:00:00	1.06155	1.06300	1.06055	1.06107	6299	0	0
2023.01.04	12:00:00	1.06107	1.06228	1.06083	1.06207	4015	0	0
2023.01.04	13:00:00	1.06207	1.06243	1.06022	1.06043	3927	0	0
2023.01.04	14:00:00	1.06043	1.06111	1.05988	1.06072	4331	0	0
2023.01.04	15:00:00	1.06072	1.06197	1.05949	1.06106	6191	0	0
2023.01.04	16:00:00	1.06106	1.06284	1.06023	1.06243	7544	0	0
2023.01.04	17:00:00	1.06243	1.06250	1.05812	1.06032	13836	0	0
2023.01.04	18:00:00	1.06033	1.06206	1.05926	1.06188	7073	0	0
2023.01.04	19:00:00	1.06190	1.06200	1.06047	1.06073	4068	0	0
2023.01.04	20:00:00	1.06073	1.06127	1.05954	1.05990	3124	0	0
2023.01.04	21:00:00	1.05990	1.06067	1.05851	1.06054	9003	0	0
2023.01.04	22:00:00	1.06055	1.06099	1.06010	1.06033	5099	0	0
2023.01.04	23:00:00	1.06036	1.06078	1.06010	1.06032	2037	0	0
2023.01.05	00:00:00	1.06029	1.06101	1.05957	1.06069	2127	0	0
2023.01.05	01:00:00	1.06053	1.06113	1.06028	1.06062	1537	0	0
2023.01.05	02:00:00	1.06057	1.06310	1.06030	1.06291	4581	0	0
2023.01.05	03:00:00	1.06291	1.06313	1.06184	1.06203	3592	0	0
2023.01.05	04:00:00	1.06203	1.06203	1.06092	1.06178	2896	0	0
2023.01.05	05:00:00	1.06178	1.06197	1.06064	1.06071	2117	0	0
2023.01.05	06:00:00	1.06071	1.06116	1.06034	1.06041	1908	0	0
2023.01.05	07:00:00	1.06042	1.06106	1.06016	1.06104	2443	0	0
2023.01.05	08:00:00	1.06105	1.06199	1.06029	1.06031	3203	0	0
2023.01.05	09:00:00	1.06031	1.06122	1.05900	1.06054	4988	0	0
2023.01.05	10:00:00	1.06054	1.06278	1.06050	1.06199	8690	0	0
2023.01.05	11:00:00	1.06199	1.06289	1.06094	1.06233	5261	0	0
2023.01.05	12:00:00	1.06233	1.06262	1.06100	1.06186	4106	0	0
2023.01.05	13:00:00	1.06187	1.06220	1.06030	1.06110	3676	0	0
2023.01.05	14:00:00	1.06113	1.06174	1.05982	1.05996	4390	0	0
2023.01.05	15:00:00	1.05996	1.06083	1.05512	1.05523	11261	0	0
2023.01.05	16:00:00	1.05523	1.05620	1.05357	1.05393	8928	0	0
2023.01.05	17:00:00	1.05394	1.05673	1.05150	1.05185	10534	0	0
2023.01.05	18:00:00	1.05184	1.05319	1.05176	1.05210	6163	0	0
2023.01.05	19:00:00	1.05210	1.05330	1.05187	1.05300	4385	0	0
2023.01.05	20:00:00	1.05300	1.05431	1.05292	1.05359	5103	0	0
2023.01.05	21:00:00	1.05361	1.05386	1.05289	1.05301	4022	0	0
2023.01.05	22:00:00	1.05300	1.05306	1.05199	1.05199	4041	0	0
2023.01.05	23:00:00	1.05202	1.05227	1.05155	1.05212	1745	0	0
2023.01.06	00:00:00	1.05221	1.05224	1.05143	1.05213	822	0	0
2023.01.06	01:00:00	1.05213	1.05260	1.05196	1.05209	1602	0	0
2023.01.06	02:00:00	1.05209	1.05316	1.05189	1.05292	2635	0	0
2023.01.06	03:00:00	1.05295	1.05326	1.05225	1.05249	2775	0	0
2023.01.06	04:00:00	1.05249	1.05341	1.05248	1.05267	2028	0	0
2023.01.06	05:00:00	1.05268	1.05364	1.05261	1.05322	2751	0	0
2023.01.06	06:00:00	1.05320	1.05344	1.05244	1.05244	1280	0	0
2023.01.06	07:00:00	1.05245	1.05251	1.05107	1.05144	2857	0	0
2023.01.06	08:00:00	1.05147	1.05223	1.05105	1.05126	2510	0	0
2023.01.06	09:00:00	1.05125	1.05226	1.05068	1.05125	5528	0	0
2023.01.06	10:00:00	1.05126	1.05309	1.05110	1.05184	5569	0	0
2023.01.06	11:00:00	1.05184	1.05195	1.04966	1.05071	4709	0	0
2023.01.06	12:00:00	1.05073	1.05159	1.05030	1.05074	4123	0	0
2023.01.06	13:00:00	1.05076	1.05112	1.04922	1.04943	3903	0	0
2023.01.06	14:00:00	1.04944	1.04964	1.04832	1.04947	4242	0	0
2023.01.06	15:00:00	1.04947	1.05450	1.04819	1.05425	12982	0	0
2023.01.06	16:00:00	1.05424	1.05432	1.05010	1.05088	11227	0	0
2023.01.06	17:00:00	1.05082	1.06124	1.05082	1.06016	15661	0	0
2023.01.06	18:00:00	1.06018	1.06225	1.05968	1.06186	7109	0	0
2023.01.06	19:00:00	1.06187	1.06380	1.06164	1.06375	3662	0	0
2023.01.06	20:00:00	1.06375	1.06435	1.06295	1.06378	2708	0	0
2023.01.06	21:00:00	1.06378	1.06479	1.06378	1.06456	2340	0	0
2023.01.06	22:00:00	1.06455	1.06479	1.06427	1.06462	2258	0	0
2023.01.06	23:00:00	1.06460	1.06460	1.06419	1.06439	1381	0	0
2023.01.09	00:00:00	1.06405	1.06409	1.06360	1.06389	593	0	12
2023.01.09	01:00:00	1.06410	1.06630	1.06410	1.06628	3164	0	0
2023.01.09	02:00:00	1.06629	1.06678	1.06515	1.06613	3228	0	0
2023.01.09	03:00:00	1.06613	1.06722	1.06553	1.06666	3569	0	0
2023.01.09	04:00:00	1.06667	1.06777	1.06663	1.06770	3175	0	0
2023.01.09	05:00:00	1.06770	1.06770	1.06662	1.06676	2608	0	0
2023.01.09	06:00:00	1.06675	1.06783	1.06667	1.06766	1806	0	0
2023.01.09	07:00:00	1.06766	1.06829	1.06729	1.06771	2672	0	0
2023.01.09	08:00:00	1.06771	1.06864	1.06756	1.06819	2860	0	0
2023.01.09	09:00:00	1.06825	1.06949	1.06680	1.06730	6469	0	0
2023.01.09	10:00:00	1.06731	1.06996	1.06725	1.06901	6568	0	0
2023.01.09	11:00:00	1.06902	1.06936	1.06601	1.06721	5743	0	0
2023.01.09	12:00:00	1.06721	1.06764	1.06616	1.06689	4461	0	0
2023.01.09	13:00:00	1.06690	1.06857	1.06676	1.06843	3957	0	0
2023.01.09	14:00:00	1.06841	1.06936	1.06808	1.06889	3594	0	0
2023.01.09	15:00:00	1.06889	1.07317	1.06852	1.07250	7572	0	0
2023.01.09	16:00:00	1.07252	1.07385	1.07116	1.07282	7670	0	0
2023.01.09	17:00:00	1.07282	1.07493	1.07279	1.07401	6327	0	0
2023.01.09	18:00:00	1.07403	1.07605	1.07401	1.07582	5228	0	0
2023.01.09	19:00:00	1.07581	1.07599	1.07399	1.07501	4936	0	0
